idquest,cluster,target
12112304401.0,0,1
12112304501.0,0,1
12112304601.0,0,1
12112304701.0,0,1
12112304801.0,0,1
12112304901.0,0,1
12112400101.0,0,1
12112400201.0,0,1
12112400301.0,0,1
12112400501.0,0,0
12112400601.0,0,1
12112400701.0,0,1
12112400801.0,0,1
12112400901.0,0,1
12112401001.0,0,1
12112401201.0,0,1
12112401501.0,0,1
12112402101.0,0,1
12112402201.0,0,1
12112402301.0,0,0
12200100101.0,0,0
12200100102.0,0,0
12201600101.0,0,1
12201601101.0,0,0
12201601201.0,0,1
12201601301.0,0,0
12201601701.0,0,1
12201602001.0,0,1
12201602101.0,0,0
12410100801.0,0,0
12410101801.0,0,0
12410102001.0,0,0
12410102702.0,0,0
12410102801.0,0,1
12410104001.0,0,1
12410201001.0,0,1
12410201701.0,0,0
12410203201.0,0,0
12410204801.0,0,1
12410300801.0,0,1
12410302201.0,0,0
12410302601.0,0,0
12410303201.0,0,1
12410303501.0,0,0
12410304101.0,1,0
12410400401.0,0,1
12410400901.0,0,0
12410401501.0,0,1
12410401801.0,0,1
12410402501.0,0,1
12410402901.0,0,0
12410403601.0,0,0
12410406501.0,0,1
12410503201.0,0,1
12410503701.0,0,0
12410601701.0,0,1
12410601901.0,0,0
12410602101.0,0,1
12410603502.0,0,0
12410603602.0,0,0
12410603801.0,0,1
12410700504.0,0,0
12410700702.0,0,0
12410700801.0,0,0
12410701001.0,0,0
12410701701.0,0,1
12410702501.0,0,0
12410703701.0,0,0
12410802001.0,0,0
12410804301.0,0,0
12410804701.0,0,1
12411000204.0,0,0
12411002202.0,0,0
12411100201.0,0,0
12411101201.0,0,1
12411103101.0,0,1
12411201201.0,1,0
12411201301.0,0,0
12411201401.0,0,0
12411204701.0,0,0
12411301601.0,0,1
12411301901.0,0,1
12411302001.0,0,1
12411304402.0,0,0
12411306602.0,0,0
12411400102.0,0,0
12411401301.0,0,1
12411401501.0,0,0
12411403701.0,0,0
12411404401.0,0,1
12411404601.0,0,1
12411405202.0,0,0
12411405901.0,0,1
12411406502.0,0,1
12411501801.0,0,1
12411502301.0,0,1
12411505201.0,0,0
12411505302.0,0,0
12411505701.0,0,1
12411507701.0,0,0
12411600301.0,0,1
12411602301.0,0,0
12411603001.0,0,0
12411603601.0,0,1
12411603701.0,0,0
12411605301.0,0,1
12411605401.0,0,0
12411606601.0,0,1
